Step,Action_V,Action_W,Root_Value,Tree_Size,Max_Depth,Dist_To_Goal,Search_Time_sec,Exec_Time_sec,Num_Expansions,PhysX_Ticks,Decisions_Per_Sec
1,0.0,-0.5,-3.0617,241,2,2.752,0.696788,0.031833,16,255,1.372
2,1.0,0.5,-2.4244,466,3,2.7751,1.064086,0.034237,31,480,1.0943
3,0.5,0.0,-1.3431,616,3,2.7777,1.413691,0.033146,41,630,0.9161
4,1.0,0.5,-3.12,241,2,2.7864,0.546761,0.033759,16,255,1.0374
5,0.0,-0.5,-3.1117,241,2,2.7869,0.547646,0.033266,16,255,1.1269
6,1.0,-1.0,-3.1999,241,2,2.7981,0.551247,0.033855,16,255,1.1946
7,1.0,0.5,-3.1229,241,2,2.803,0.550185,0.033888,16,255,1.2484
8,1.0,1.0,-3.1683,241,2,2.8069,0.550702,0.033833,16,255,1.292
9,0.0,0.5,-3.2631,241,2,2.8067,0.550758,0.033882,16,255,1.328
10,1.0,0.5,-3.3152,241,2,2.8105,0.55163,0.033751,16,255,1.3582
11,1.0,-0.5,-3.1153,241,2,2.8142,0.550495,0.034149,16,255,1.3841
12,0.5,1.0,-1.5201,646,3,2.8143,1.474749,0.033094,43,660,1.269
13,0.0,0.5,-2.4241,466,3,2.8143,1.069515,0.033054,31,480,1.2312
14,0.5,1.0,-1.1442,586,3,2.8142,1.348763,0.033123,39,600,1.1724
15,0.5,0.0,-3.2062,241,2,2.8149,0.550512,0.033238,16,255,1.1976
16,0.0,0.5,-1.5624,616,3,2.8149,1.409918,0.033021,41,630,1.1454
17,0.5,-0.5,-1.7372,556,4,2.8157,1.270547,0.033291,37,570,1.1131
18,0.0,0.5,-3.1643,241,2,2.816,0.551036,0.033533,16,255,1.1351
19,0.0,0.0,-1.3356,631,3,2.8158,1.451241,0.033555,42,645,1.0955
20,0.5,0.5,-1.3525,601,4,2.8158,1.386128,0.033057,40,615,1.0659
21,1.0,-1.0,-2.2248,466,3,2.8196,1.095406,0.033916,31,480,1.0557
22,0.5,-0.5,-0.4122,541,3,2.8199,1.260745,0.033176,36,555,1.0384
23,0.0,-1.0,-2.4487,466,3,2.8196,1.077684,0.033736,31,480,1.0314
24,0.5,0.0,-3.098,241,2,2.8188,0.556982,0.033127,16,255,1.0485
25,0.5,0.5,-3.1943,241,2,2.8192,0.559376,0.033622,16,255,1.0646
26,0.0,0.5,-3.1957,241,2,2.819,0.556521,0.033277,16,255,1.0801
27,0.0,1.0,-3.1476,241,2,2.8194,0.554884,0.034379,16,255,1.0948
28,0.5,1.0,-2.5048,466,3,2.8194,1.081617,0.03313,31,480,1.0862
29,1.0,1.0,-3.1555,241,2,2.8195,0.558088,0.033662,16,255,1.0997
30,1.0,-1.0,-3.2871,241,2,2.8212,0.558729,0.033892,16,255,1.1126
31,1.0,-0.5,-3.3207,241,2,2.8222,0.561117,0.033485,16,255,1.1249
32,0.0,0.5,-0.961,481,4,2.8225,1.116158,0.033156,32,495,1.1147
33,0.0,-0.5,-3.1828,241,2,2.8225,0.555322,0.033244,16,255,1.1264
34,0.5,1.0,-1.3374,616,3,2.8226,1.432555,0.033266,41,630,1.1052
35,0.5,-1.0,-3.179,241,2,2.8226,0.555178,0.033573,16,255,1.1164
36,0.0,0.0,-3.213,241,2,2.8228,0.560233,0.033489,16,255,1.1269
37,0.0,1.0,-1.6519,571,4,2.8227,1.339572,0.033467,38,585,1.1105
38,0.5,0.5,-3.1825,241,2,2.8226,0.555517,0.033292,16,255,1.1207
39,0.5,-1.0,-3.1342,241,2,2.8231,0.55958,0.033851,16,255,1.1303
40,0.0,0.0,-1.4683,601,4,2.8232,1.403574,0.033223,40,615,1.113
41,0.0,0.0,-2.4441,466,3,2.8232,1.085158,0.033989,31,480,1.1063
42,0.5,-1.0,-3.1398,241,2,2.8236,0.567993,0.033507,16,255,1.1152
43,0.5,-1.0,-3.2912,241,2,2.8238,0.564304,0.034185,16,255,1.1239
44,0.0,0.5,-3.2448,241,2,2.8238,0.559778,0.033378,16,255,1.1324
45,0.5,0.5,-3.2378,241,2,2.8239,0.561761,0.034146,16,255,1.1407
46,0.0,0.0,-3.138,241,2,2.8238,0.559566,0.033266,16,255,1.1488
47,0.0,-0.5,-3.2243,241,2,2.8239,0.562198,0.033965,16,255,1.1565
48,0.0,0.5,-3.1346,241,2,2.8239,0.561728,0.033322,16,255,1.164
49,0.5,-0.5,-3.2377,241,2,2.824,0.564051,0.034097,16,255,1.1713
50,0.0,0.5,-3.2388,241,2,2.824,0.56391,0.033439,16,255,1.1784
